 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 S02   .949                                        Global sig2   .00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    8510.877    790.346  14.450  8.11378E-01  8.18426E-01 -8.75279E-03
    8516.392    795.861  14.500  8.13341E-01  8.17484E-01 -5.15455E-03
    8521.926    801.395  14.550  8.15382E-01  8.16542E-01 -1.44601E-03
    8527.479    806.948  14.600  8.17395E-01  8.15600E-01  2.24035E-03
    8533.051    812.520  14.650  8.19312E-01  8.14658E-01  5.81986E-03
    8538.642    818.111  14.700  8.21095E-01  8.13716E-01  9.24257E-03
    8544.252    823.721  14.750  8.22708E-01  8.12774E-01  1.24655E-02
    8549.881    829.351  14.800  8.24098E-01  8.11832E-01  1.54188E-02
    8555.530    834.999  14.850  8.25166E-01  8.10890E-01  1.79762E-02
    8561.197    840.666  14.900  8.25757E-01  8.09948E-01  1.99425E-02
    8566.883    846.353  14.950  8.25674E-01  8.09006E-01  2.10627E-02
    8572.589    852.058  15.000  8.24699E-01  8.08064E-01  2.10578E-02
    8578.313    857.783  15.050  8.22271E-01  8.06722E-01  1.97187E-02
    8584.057    863.526  15.100  8.18638E-01  8.05380E-01  1.68431E-02
    8589.819    869.289  15.150  8.13801E-01  8.04038E-01  1.24245E-02
    8595.601    875.071  15.200  8.07915E-01  8.02696E-01  6.65363E-03
    8601.402    880.871  15.250  8.01301E-01  8.01354E-01 -6.84570E-05
    8607.222    886.691  15.300  7.94419E-01  8.00012E-01 -7.15657E-03
    8613.060    892.530  15.350  7.87821E-01  7.98670E-01 -1.39057E-02
    8618.918    898.388  15.400  7.82075E-01  7.97328E-01 -1.95855E-02
    8624.795    904.265  15.450  7.77679E-01  7.95986E-01 -2.35500E-02
    8630.691    910.161  15.500  7.74980E-01  7.94644E-01 -2.53412E-02
    8636.606    916.076  15.550  7.74116E-01  7.93302E-01 -2.47691E-02
    8642.540    922.010  15.600  7.74990E-01  7.91960E-01 -2.19490E-02
