    11.6000    1.619999E-03  1.374202E-02  5.328891E+01
    11.6500   -6.604360E-03  1.695501E-02  5.380719E+01
    11.7000   -1.528982E-02  2.025960E-02  5.426226E+01
    11.7500   -2.240495E-02  2.342774E-02  5.468130E+01
    11.8000   -2.619480E-02  2.632913E-02  5.507893E+01
    11.8500   -2.554488E-02  2.888111E-02  5.546328E+01
    11.9000   -2.021413E-02  3.102811E-02  5.583914E+01
    11.9500   -1.089061E-02  3.273259E-02  5.620949E+01
    12.0000    9.397898E-04  3.397096E-02  5.657634E+01
    12.0500    1.338016E-02  3.483983E-02  5.694284E+01
    12.1000    2.426803E-02  3.524257E-02  5.730822E+01
    12.1500    3.174181E-02  3.518340E-02  5.767347E+01
    12.2000    3.456455E-02  3.467532E-02  5.803951E+01
    12.2500    3.235155E-02  3.373981E-02  5.840732E+01
    12.3000    2.562982E-02  3.240659E-02  5.877801E+01
    12.3500    1.572070E-02  3.071364E-02  5.915293E+01
    12.4000    4.472387E-03  2.870754E-02  5.953383E+01
    12.4500   -6.102222E-03  2.644442E-02  5.992312E+01
    12.5000   -1.420962E-02  2.399185E-02  6.032413E+01
    12.5500   -1.860640E-02  2.143268E-02  6.074169E+01
    12.6000   -1.881380E-02  1.887176E-02  6.118266E+01
    12.6500   -1.517793E-02  1.644702E-02  6.165647E+01
    12.7000   -8.768870E-03  1.434346E-02  6.217409E+01
    12.7500   -1.143583E-03  1.279618E-02  6.274236E+01
    12.8000    5.976467E-03  1.204191E-02  6.335119E+01
    12.8500    1.104718E-02  1.219149E-02  6.396592E+01
    12.9000    1.299591E-02  1.313246E-02  6.454699E+01
    12.9500    1.141250E-02  1.460409E-02  6.507644E+01
    13.0000    6.604261E-03  1.634188E-02  6.555742E+01
    13.0500   -5.143973E-04  1.816368E-02  6.600177E+01
    13.1000   -8.570448E-03  1.992654E-02  6.641805E+01
    13.1500   -1.604180E-02  2.153852E-02  6.681367E+01
    13.2000   -2.154342E-02  2.293764E-02  6.719379E+01
    13.2500   -2.407876E-02  2.408251E-02  6.756187E+01
    13.3000   -2.320386E-02  2.494673E-02  6.792025E+01
    13.3500   -1.907798E-02  2.551559E-02  6.827045E+01
    13.4000   -1.239846E-02  2.578395E-02  6.861340E+01
    13.4500   -4.240438E-03  2.575503E-02  6.894964E+01
    13.5000    4.160792E-03  2.543949E-02  6.927933E+01
    13.5500    1.163833E-02  2.485478E-02  6.960235E+01
    13.6000    1.728832E-02  2.402473E-02  6.991827E+01
    13.6500    2.059599E-02  2.297924E-02  7.022636E+01
    13.7000    2.147528E-02  2.175414E-02  7.052555E+01
    13.7500    2.022309E-02  2.039124E-02  7.081435E+01
    13.8000    1.740638E-02  1.893854E-02  7.109084E+01
    13.8500    1.371257E-02  1.745073E-02  7.135266E+01
    13.9000    9.798056E-03  1.598952E-02  7.159706E+01
    13.9500    6.166862E-03  1.462344E-02  7.182130E+01
    14.0000    3.101483E-03  1.342559E-02  7.202351E+01
    14.0500    6.438727E-04  1.252968E-02  7.220522E+01
    14.1000   -1.360839E-03  1.193081E-02  7.237094E+01
    14.1500   -3.140329E-03  1.164832E-02  7.252960E+01
    14.2000   -4.914753E-03  1.165840E-02  7.269180E+01
    14.2500   -6.812730E-03  1.189934E-02  7.286622E+01
    14.3000   -8.822573E-03  1.228926E-02  7.305743E+01
    14.3500   -1.078861E-02  1.274511E-02  7.326599E+01
    14.4000   -1.245045E-02  1.319479E-02  7.348994E+01
    14.4500   -1.351229E-02  1.358188E-02  7.372616E+01
    14.5000   -1.372273E-02  1.386593E-02  7.397127E+01
    14.5500   -1.294351E-02  1.402099E-02  7.422202E+01
    14.6000   -1.118980E-02  1.403392E-02  7.447535E+01
    14.6500   -8.632346E-03  1.390311E-02  7.472834E+01
    14.7000   -5.561840E-03  1.363771E-02  7.497815E+01
    14.7500   -2.325582E-03  1.325734E-02  7.522189E+01
    14.8000    7.468824E-04  1.279218E-02  7.545664E+01
    14.8500    3.410061E-03  1.228317E-02  7.567954E+01
    14.9000    5.544158E-03  1.178178E-02  7.588816E+01
    14.9500    7.162127E-03  1.134803E-02  7.608124E+01
    15.0000    8.381213E-03  1.104535E-02  7.625969E+01
    15.0500    9.375585E-03  1.094149E-02  7.642742E+01
    15.1000    1.028589E-02  1.106958E-02  7.659047E+01
    15.1500    1.119142E-02  1.144639E-02  7.675756E+01
    15.2000    1.204941E-02  1.205580E-02  7.693644E+01
    15.2500    1.268533E-02  1.285558E-02  7.713195E+01
    15.3000    1.282304E-02  1.378940E-02  7.734562E+01
    15.3500    1.214927E-02  1.479772E-02  7.757662E+01
    15.4000    1.039823E-02  1.582452E-02  7.782286E+01
    15.4500    7.436237E-03  1.682027E-02  7.808188E+01
    15.5000    3.325250E-03  1.774276E-02  7.835129E+01
    15.5500   -1.651814E-03  1.855686E-02  7.862895E+01
    15.6000   -7.012811E-03  1.923409E-02  7.891302E+01
    15.6500   -1.214352E-02  1.975217E-02  7.920194E+01
    15.7000   -1.639801E-02  2.009458E-02  7.949434E+01
    15.7500   -1.921224E-02  2.025035E-02  7.978903E+01
    15.8000   -2.020709E-02  2.021378E-02  8.008488E+01
    15.8500   -1.925919E-02  1.998439E-02  8.038083E+01
